Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.2,POLICY,ACTURIS-SDW,mo_sdw_policy_reprt_answer,mo_rept_ans_answer_text,,"1. Join policy table with policy_reprt_fields_up  on policy_key, join policy_reprt_fields_up table with policy_reprt_question on policy_reprt_question_key and policy_reprt_answer on policy_reprt_question_key where question_text column from policy_reprt_question  like 'Special Terms Manual Review Required'.",LSM,dim_policy,special_terms_manual_review_required,varchar(16383),Special term applied on policy which went under manual check.,,,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_insurer_policy_no,,Direct mapping,LSM,dim_policy,policy_number,bigint,Unique indentification number to identify a policy.,,Yes,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1. Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Scheme type'.",LSM,dim_policy,scheme_type,varchar(16383),"Type of scheme for the policy like family fund, core fleet and PWS.",,Yes,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1. Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Policy type'.",LSM,dim_policy,policy_type,varchar(16383),Type of policy whether it is open or standard.,,Yes,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_oldpolrefno,,Direct mapping,LSM,dim_policy,arn,varchar(16383),Old Referrence Number of the policy from Motability.,,No,
v1.4,POLICY,ACTURIS-SDW,,,,when lifecycle_status is 'Cancellation' and transaction_status='Live' or  'Lapsed'  and void_ind=0 then isactive = 0 else policy live status from fact_insured_risk_snapshot table.,LSM,dim_policy,isactive,integer,"isactive is 1 for all the live policies but the policies which are live but cancelled, lapsed and voided will not be considered as live so there are not active policies.",,,
v1.6,POLICY,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1. Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Cover level'.",LSM,dim_policy,cover_level,,,,,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_insurer_policy_no,,Direct mapping,LSM,dim_policy,Business_key,varchar(16383),Technical column which has source business keys and it is unique for all the records.,,,
v1.1,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,POLICY,ACTURIS-SDW,,,,,LSM,dim_transaction_status,transaction_status_id,bigint,"Primary Key for dim_transaction_status, this column contains unique autogenerated values.",,,
